date,state_normalized,district_cleaned,demo_age_5_17,demo_age_17_
09-11-2025,UTTAR PRADESH,Maharajganj,67,357
09-11-2025,UTTAR PRADESH,Mahoba,10,72
09-11-2025,UTTAR PRADESH,Mainpuri,26,214
09-11-2025,UTTAR PRADESH,Mathura,49,274
09-11-2025,UTTAR PRADESH,Mau,36,197
09-11-2025,UTTAR PRADESH,Meerut,64,559
09-11-2025,UTTAR PRADESH,Mirzapur,71,405
09-11-2025,UTTAR PRADESH,Moradabad,65,719
09-11-2025,UTTAR PRADESH,Muzaffarnagar,66,608
09-11-2025,UTTAR PRADESH,Pilibhit,74,533
09-11-2025,UTTAR PRADESH,Pratapgarh,76,330
09-11-2025,UTTAR PRADESH,Prayagraj,27,161
09-11-2025,UTTAR PRADESH,Rae Bareli,47,330
09-11-2025,UTTAR PRADESH,Rampur,53,580
09-11-2025,UTTAR PRADESH,Saharanpur,48,724
09-11-2025,UTTAR PRADESH,Sambhal,49,490
09-11-2025,UTTAR PRADESH,Sant Kabir Nagar,33,264
09-11-2025,UTTAR PRADESH,Sant Ravidas Nagar,41,177
09-11-2025,UTTAR PRADESH,Sant Ravidas Nagar Bhadohi,0,2
09-11-2025,UTTAR PRADESH,Shahjahanpur,69,613
09-11-2025,UTTAR PRADESH,Shamli,48,372
09-11-2025,UTTAR PRADESH,Shrawasti,13,175
09-11-2025,UTTAR PRADESH,Siddharthnagar,50,466
09-11-2025,UTTAR PRADESH,Sitapur,79,732
09-11-2025,UTTAR PRADESH,Sonbhadra,43,275
09-11-2025,UTTAR PRADESH,Sultanpur,54,256
09-11-2025,UTTAR PRADESH,Unnao,55,485
09-11-2025,UTTAR PRADESH,Varanasi,109,559
09-11-2025,UTTARAKHAND,Almora,10,44
09-11-2025,UTTARAKHAND,Bageshwar,6,16
09-11-2025,UTTARAKHAND,Chamoli,3,38
09-11-2025,UTTARAKHAND,Champawat,8,33
09-11-2025,UTTARAKHAND,Dehradun,79,338
09-11-2025,UTTARAKHAND,Garhwal,0,1
09-11-2025,UTTARAKHAND,Hardwar,0,9
09-11-2025,UTTARAKHAND,Haridwar,65,336
09-11-2025,UTTARAKHAND,Nainital,38,163
09-11-2025,UTTARAKHAND,Pauri Garhwal,7,61
09-11-2025,UTTARAKHAND,Pithoragarh,15,59
09-11-2025,UTTARAKHAND,Rudraprayag,5,26
09-11-2025,UTTARAKHAND,Tehri Garhwal,17,127
09-11-2025,UTTARAKHAND,Udham Singh Nagar,88,457
09-11-2025,UTTARAKHAND,Uttarkashi,14,36
09-11-2025,WEST BENGAL,Alipurduar,2,47
09-11-2025,WEST BENGAL,Bankura,41,716
09-11-2025,WEST BENGAL,Barddhaman,20,698
09-11-2025,WEST BENGAL,Bardhaman,2,130
09-11-2025,WEST BENGAL,Birbhum,61,768
09-11-2025,WEST BENGAL,Cooch Behar,38,445
09-11-2025,WEST BENGAL,Dakshin Dinajpur,21,346
09-11-2025,WEST BENGAL,Darjeeling,13,152
09-11-2025,WEST BENGAL,Darjiling,0,43
09-11-2025,WEST BENGAL,East Midnapore,8,233
09-11-2025,WEST BENGAL,Haora,2,308
09-11-2025,WEST BENGAL,Hooghly,56,875
09-11-2025,WEST BENGAL,Howrah,44,659
09-11-2025,WEST BENGAL,Hugli,0,5
09-11-2025,WEST BENGAL,Jalpaiguri,36,599
09-11-2025,WEST BENGAL,Jhargram,5,50
09-11-2025,WEST BENGAL,Kalimpong,0,24
09-11-2025,WEST BENGAL,Koch Bihar,4,283
09-11-2025,WEST BENGAL,Kolkata,14,547
09-11-2025,WEST BENGAL,Malda,76,806
09-11-2025,WEST BENGAL,Maldah,13,159
09-11-2025,WEST BENGAL,Medinipur,0,1
09-11-2025,WEST BENGAL,Murshidabad,162,1514
09-11-2025,WEST BENGAL,Nadia,49,803
09-11-2025,WEST BENGAL,North 24 Parganas,56,1425
09-11-2025,WEST BENGAL,North Dinajpur,0,48
09-11-2025,WEST BENGAL,North Twenty Four Parganas,3,135
09-11-2025,WEST BENGAL,Paschim Bardhaman,4,124
09-11-2025,WEST BENGAL,Paschim Medinipur,86,1062
09-11-2025,WEST BENGAL,Purba Bardhaman,6,128
09-11-2025,WEST BENGAL,Purba Medinipur,54,859
09-11-2025,WEST BENGAL,Purulia,5,33
09-11-2025,WEST BENGAL,Puruliya,71,851
09-11-2025,WEST BENGAL,South 24 Parganas,131,2317
09-11-2025,WEST BENGAL,South Dinajpur,0,31
09-11-2025,WEST BENGAL,South Twenty Four Parganas,6,298
09-11-2025,WEST BENGAL,Uttar Dinajpur,61,1614
09-11-2025,WEST BENGAL,West Midnapore,6,247
09-12-2025,ANDAMAN AND NICOBAR ISLANDS,Andamans,1,9
09-12-2025,ANDAMAN AND NICOBAR ISLANDS,Nicobar,0,5
09-12-2025,ANDAMAN AND NICOBAR ISLANDS,North And Middle Andaman,1,20
09-12-2025,ANDAMAN AND NICOBAR ISLANDS,South Andaman,4,55
09-12-2025,ANDHRA PRADESH,Adilabad,22,226
09-12-2025,ANDHRA PRADESH,Alluri Sitharama Raju,15,76
09-12-2025,ANDHRA PRADESH,Anakapalli,10,98
09-12-2025,ANDHRA PRADESH,Anantapur,58,574
09-12-2025,ANDHRA PRADESH,Ananthapur,49,212
09-12-2025,ANDHRA PRADESH,Ananthapuramu,58,285
09-12-2025,ANDHRA PRADESH,Annamayya,17,116
09-12-2025,ANDHRA PRADESH,Bapatla,6,85
09-12-2025,ANDHRA PRADESH,Chittoor,130,979
09-12-2025,ANDHRA PRADESH,Cuddapah,53,516
09-12-2025,ANDHRA PRADESH,Dr. B. R. Ambedkar Konaseema,11,79
09-12-2025,ANDHRA PRADESH,East Godavari,109,974
09-12-2025,ANDHRA PRADESH,Eluru,14,99
09-12-2025,ANDHRA PRADESH,Guntur,107,859
09-12-2025,ANDHRA PRADESH,Hyderabad,22,291
09-12-2025,ANDHRA PRADESH,K.V.Rangareddy,0,4
09-12-2025,ANDHRA PRADESH,K.v. Rangareddy,0,1
09-12-2025,ANDHRA PRADESH,Kakinada,11,135
09-12-2025,ANDHRA PRADESH,Karim Nagar,0,12
09-12-2025,ANDHRA PRADESH,Karimnagar,7,98
09-12-2025,ANDHRA PRADESH,Khammam,23,254
09-12-2025,ANDHRA PRADESH,Krishna,66,679
09-12-2025,ANDHRA PRADESH,Kurnool,114,671
09-12-2025,ANDHRA PRADESH,Mahabub Nagar,5,119
09-12-2025,ANDHRA PRADESH,Mahabubnagar,0,1
09-12-2025,ANDHRA PRADESH,Mahbubnagar,5,53
09-12-2025,ANDHRA PRADESH,Medak,6,100
09-12-2025,ANDHRA PRADESH,N. T. R,11,111
09-12-2025,ANDHRA PRADESH,Nalgonda,13,241
09-12-2025,ANDHRA PRADESH,Nandyal,13,61
09-12-2025,ANDHRA PRADESH,Nellore,48,431
09-12-2025,ANDHRA PRADESH,Nizamabad,4,31
09-12-2025,ANDHRA PRADESH,Palnadu,14,78
09-12-2025,ANDHRA PRADESH,Parvathipuram Manyam,5,33
09-12-2025,ANDHRA PRADESH,Prakasam,101,813
09-12-2025,ANDHRA PRADESH,Rangareddi,21,141
09-12-2025,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,15,125
09-12-2025,ANDHRA PRADESH,Sri Sathya Sai,11,134
09-12-2025,ANDHRA PRADESH,Srikakulam,86,478
09-12-2025,ANDHRA PRADESH,Tirupati,14,94
09-12-2025,ANDHRA PRADESH,Visakhapatnam,56,540
09-12-2025,ANDHRA PRADESH,Vizianagaram,34,338
09-12-2025,ANDHRA PRADESH,Warangal,9,185
09-12-2025,ANDHRA PRADESH,West Godavari,50,504
09-12-2025,ANDHRA PRADESH,Y. S. R,5,37
09-12-2025,ANDHRA PRADESH,rangareddi,0,1
09-12-2025,ARUNACHAL PRADESH,Anjaw,1,13
09-12-2025,ARUNACHAL PRADESH,Changlang,2,33
09-12-2025,ARUNACHAL PRADESH,Dibang Valley,0,6
09-12-2025,ARUNACHAL PRADESH,East Kameng,4,10
09-12-2025,ARUNACHAL PRADESH,East Siang,7,25
09-12-2025,ARUNACHAL PRADESH,Kra Daadi,1,2
09-12-2025,ARUNACHAL PRADESH,Leparada,0,1
09-12-2025,ARUNACHAL PRADESH,Lohit,1,22
09-12-2025,ARUNACHAL PRADESH,Longding,4,10
09-12-2025,ARUNACHAL PRADESH,Lower Dibang Valley,1,13
09-12-2025,ARUNACHAL PRADESH,Lower Siang,0,1
09-12-2025,ARUNACHAL PRADESH,Namsai,1,8
09-12-2025,ARUNACHAL PRADESH,Papum Pare,4,15
09-12-2025,ARUNACHAL PRADESH,Siang,0,5
09-12-2025,ARUNACHAL PRADESH,Tawang,1,5
09-12-2025,ARUNACHAL PRADESH,Tirap,3,11
09-12-2025,ARUNACHAL PRADESH,Upper Siang,1,6
09-12-2025,ARUNACHAL PRADESH,West Kameng,8,10
09-12-2025,ARUNACHAL PRADESH,West Siang,1,4
09-12-2025,ASSAM,Bajali,0,5
09-12-2025,ASSAM,Baksa,6,83
09-12-2025,ASSAM,Barpeta,54,759
09-12-2025,ASSAM,Biswanath,6,61
09-12-2025,ASSAM,Bongaigaon,4,49
09-12-2025,ASSAM,Cachar,28,290
09-12-2025,ASSAM,Charaideo,5,68
09-12-2025,ASSAM,Chirang,8,56
09-12-2025,ASSAM,Darrang,28,202
09-12-2025,ASSAM,Dhemaji,14,78
09-12-2025,ASSAM,Dhubri,66,752
09-12-2025,ASSAM,Dibrugarh,9,135
09-12-2025,ASSAM,Dima Hasao,0,2
09-12-2025,ASSAM,Goalpara,45,325
09-12-2025,ASSAM,Golaghat,6,99
09-12-2025,ASSAM,Hailakandi,24,191
09-12-2025,ASSAM,Hojai,19,176
09-12-2025,ASSAM,Jorhat,10,144
09-12-2025,ASSAM,Kamrup,32,407
09-12-2025,ASSAM,Kamrup Metro,18,275
09-12-2025,ASSAM,Karbi Anglong,12,145
09-12-2025,ASSAM,Karimganj,46,532
09-12-2025,ASSAM,Kokrajhar,9,123
09-12-2025,ASSAM,Lakhimpur,32,284
09-12-2025,ASSAM,Majuli,1,16
09-12-2025,ASSAM,Marigaon,39,516
09-12-2025,ASSAM,Nagaon,53,670
09-12-2025,ASSAM,Nalbari,15,202
09-12-2025,ASSAM,North Cachar Hills,2,34
09-12-2025,ASSAM,Sibsagar,10,103
09-12-2025,ASSAM,Sonitpur,34,440
09-12-2025,ASSAM,South Salmara Mankachar,18,232
09-12-2025,ASSAM,Sribhumi,2,41
09-12-2025,ASSAM,Tamulpur District,2,14
09-12-2025,ASSAM,Tinsukia,7,255
09-12-2025,ASSAM,Udalguri,21,212
09-12-2025,ASSAM,West Karbi Anglong,6,11
09-12-2025,BIHAR,Araria,122,1286
09-12-2025,BIHAR,Arwal,24,244
09-12-2025,BIHAR,Aurangabad,79,524
09-12-2025,BIHAR,Aurangabad(bh),0,8
09-12-2025,BIHAR,Banka,39,477
09-12-2025,BIHAR,Begusarai,111,845
09-12-2025,BIHAR,Bhabua,0,1
09-12-2025,BIHAR,Bhagalpur,95,908
09-12-2025,BIHAR,Bhojpur,124,978
09-12-2025,BIHAR,Buxar,71,632
09-12-2025,BIHAR,Darbhanga,88,1020
09-12-2025,BIHAR,East Champaran,219,2247
09-12-2025,BIHAR,Gaya,156,1285
09-12-2025,BIHAR,Gopalganj,56,713
09-12-2025,BIHAR,Jamui,55,438
09-12-2025,BIHAR,Jehanabad,26,214
09-12-2025,BIHAR,Kaimur (Bhabua),68,546
09-12-2025,BIHAR,Katihar,118,1398
09-12-2025,BIHAR,Khagaria,98,750
09-12-2025,BIHAR,Kishanganj,72,930
09-12-2025,BIHAR,Lakhisarai,39,368
09-12-2025,BIHAR,Madhepura,37,480
09-12-2025,BIHAR,Madhubani,107,1125
09-12-2025,BIHAR,Monghyr,0,2
09-12-2025,BIHAR,Munger,35,578
09-12-2025,BIHAR,Muzaffarpur,111,1164
09-12-2025,BIHAR,Nalanda,95,834
09-12-2025,BIHAR,Nawada,54,549
09-12-2025,BIHAR,Pashchim Champaran,0,7
09-12-2025,BIHAR,Patna,194,1703
09-12-2025,BIHAR,Purba Champaran,0,7
09-12-2025,BIHAR,Purnea,0,39
09-12-2025,BIHAR,Purnia,98,1073
09-12-2025,BIHAR,Rohtas,104,1079
09-12-2025,BIHAR,Saharsa,65,407
09-12-2025,BIHAR,Samastipur,88,1141
09-12-2025,BIHAR,Samstipur,0,3
09-12-2025,BIHAR,Saran,117,1168
09-12-2025,BIHAR,Sheikhpura,11,106
09-12-2025,BIHAR,Sheikpura,0,1
09-12-2025,BIHAR,Sheohar,17,171
09-12-2025,BIHAR,Sitamarhi,165,1293
09-12-2025,BIHAR,Siwan,95,840
09-12-2025,BIHAR,Supaul,25,360
09-12-2025,BIHAR,Vaishali,75,946
09-12-2025,BIHAR,West Champaran,121,1276
09-12-2025,CHANDIGARH,Chandigarh,16,138
09-12-2025,CHHATTISGARH,Balod,17,212
09-12-2025,CHHATTISGARH,Baloda Bazar,107,933
09-12-2025,CHHATTISGARH,Balrampur,6,342
09-12-2025,CHHATTISGARH,Bastar,166,726
09-12-2025,CHHATTISGARH,Bemetara,72,515
09-12-2025,CHHATTISGARH,Bijapur,10,124
09-12-2025,CHHATTISGARH,Bilaspur,119,1100
09-12-2025,CHHATTISGARH,Dakshin Bastar Dantewada,14,26
09-12-2025,CHHATTISGARH,Dantewada,12,17
09-12-2025,CHHATTISGARH,Dhamtari,25,204
09-12-2025,CHHATTISGARH,Durg,67,450
09-12-2025,CHHATTISGARH,Gariyaband,10,409
09-12-2025,CHHATTISGARH,Gaurela-pendra-marwahi,0,10
09-12-2025,CHHATTISGARH,Janjgir - Champa,0,2
09-12-2025,CHHATTISGARH,Janjgir Champa,0,5
09-12-2025,CHHATTISGARH,Janjgir-Champa,69,1136
09-12-2025,CHHATTISGARH,Jashpur,75,463
09-12-2025,CHHATTISGARH,Kanker,33,232
09-12-2025,CHHATTISGARH,Kawardha,78,483
09-12-2025,CHHATTISGARH,Khairagarh Chhuikhadan Gandai,6,34
09-12-2025,CHHATTISGARH,Kondagaon,53,433
09-12-2025,CHHATTISGARH,Korba,16,419
09-12-2025,CHHATTISGARH,Koriya,6,202
09-12-2025,CHHATTISGARH,Mahasamund,58,826
09-12-2025,CHHATTISGARH,Manendragarh–Chirmiri–Bharatpur,3,34
09-12-2025,CHHATTISGARH,Mohla-Manpur-Ambagarh Chouki,5,93
09-12-2025,CHHATTISGARH,Mungeli,72,1555
09-12-2025,CHHATTISGARH,Narayanpur,12,71
09-12-2025,CHHATTISGARH,Raigarh,41,991
09-12-2025,CHHATTISGARH,Raipur,65,720
09-12-2025,CHHATTISGARH,Rajnandgaon,86,1116
09-12-2025,CHHATTISGARH,Sakti,14,107
09-12-2025,CHHATTISGARH,Sarangarh-Bilaigarh,11,144
09-12-2025,CHHATTISGARH,Sukma,21,94
09-12-2025,CHHATTISGARH,Surajpur,57,972
09-12-2025,CHHATTISGARH,Surguja,59,1045
09-12-2025,CHHATTISGARH,Uttar Bastar Kanker,21,246
09-12-2025,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Dadra And Nagar Haveli,0,12
09-12-2025,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Daman,0,7
09-12-2025,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Diu,0,1
09-12-2025,DELHI,Central Delhi,17,189
09-12-2025,DELHI,East Delhi,32,254
09-12-2025,DELHI,Najafgarh,0,6
09-12-2025,DELHI,New Delhi,0,21
09-12-2025,DELHI,North Delhi,34,321
09-12-2025,DELHI,North East,4,120
09-12-2025,DELHI,North East Delhi,53,512
09-12-2025,DELHI,North West Delhi,133,1184
09-12-2025,DELHI,Shahdara,16,114
09-12-2025,DELHI,South Delhi,55,884
09-12-2025,DELHI,South East Delhi,2,14
09-12-2025,DELHI,South West Delhi,46,579
09-12-2025,DELHI,West Delhi,83,1039
09-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,0,5
09-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,9,42
09-12-2025,Daman & Diu,Diu,0,5
09-12-2025,Daman and Diu,Daman,0,16
09-12-2025,Daman and Diu,Diu,0,6
09-12-2025,GOA,Bardez,0,1
09-12-2025,GOA,North Goa,5,196
09-12-2025,GOA,South Goa,17,196
09-12-2025,GUJARAT,Ahmadabad,0,103
09-12-2025,GUJARAT,Ahmedabad,140,1487
09-12-2025,GUJARAT,Amreli,19,187
09-12-2025,GUJARAT,Anand,27,241
09-12-2025,GUJARAT,Arvalli,7,52
09-12-2025,GUJARAT,Banas Kantha,0,8
09-12-2025,GUJARAT,Banaskantha,61,595
09-12-2025,GUJARAT,Bharuch,44,284
09-12-2025,GUJARAT,Bhavnagar,46,461
09-12-2025,GUJARAT,Botad,1,24
09-12-2025,GUJARAT,Chhotaudepur,13,50
09-12-2025,GUJARAT,Dahod,28,172
09-12-2025,GUJARAT,Devbhumi Dwarka,6,43
09-12-2025,GUJARAT,Dohad,3,32
09-12-2025,GUJARAT,Gandhinagar,31,311
09-12-2025,GUJARAT,Gir Somnath,12,85
09-12-2025,GUJARAT,Jamnagar,21,301
09-12-2025,GUJARAT,Junagadh,25,312
09-12-2025,GUJARAT,Kachchh,42,373
09-12-2025,GUJARAT,Kheda,31,356
09-12-2025,GUJARAT,Mahesana,17,251
09-12-2025,GUJARAT,Mahisagar,10,52
09-12-2025,GUJARAT,Morbi,10,66
09-12-2025,GUJARAT,Narmada,11,100
09-12-2025,GUJARAT,Navsari,21,190
09-12-2025,GUJARAT,Panch Mahals,0,4
09-12-2025,GUJARAT,Panchmahals,23,290
09-12-2025,GUJARAT,Patan,28,242
09-12-2025,GUJARAT,Porbandar,14,110
09-12-2025,GUJARAT,Rajkot,36,605
09-12-2025,GUJARAT,Sabar Kantha,0,5
09-12-2025,GUJARAT,Sabarkantha,15,298
09-12-2025,GUJARAT,Surat,136,1525
09-12-2025,GUJARAT,Surendra Nagar,20,313
09-12-2025,GUJARAT,Surendranagar,0,9
09-12-2025,GUJARAT,Tapi,13,45
09-12-2025,GUJARAT,The Dangs,8,37
09-12-2025,GUJARAT,Vadodara,51,588
09-12-2025,GUJARAT,Valsad,48,252
09-12-2025,HARYANA,Ambala,11,131
09-12-2025,HARYANA,Bhiwani,24,222
09-12-2025,HARYANA,Charkhi Dadri,12,88
09-12-2025,HARYANA,Faridabad,58,495
09-12-2025,HARYANA,Fatehabad,22,216
09-12-2025,HARYANA,Gurgaon,35,403
09-12-2025,HARYANA,Hisar,18,275
09-12-2025,HARYANA,Jhajjar,17,155
09-12-2025,HARYANA,Jind,18,216
09-12-2025,HARYANA,Kaithal,19,188
09-12-2025,HARYANA,Karnal,30,197
09-12-2025,HARYANA,Kurukshetra,11,126
09-12-2025,HARYANA,Mahendragarh,12,137
09-12-2025,HARYANA,Mewat,36,365
09-12-2025,HARYANA,Palwal,31,259
09-12-2025,HARYANA,Panchkula,21,116
09-12-2025,HARYANA,Panipat,6,101
09-12-2025,HARYANA,Rewari,31,213
09-12-2025,HARYANA,Rohtak,14,55
09-12-2025,HARYANA,Sirsa,23,370
09-12-2025,HARYANA,Sonipat,37,313
09-12-2025,HARYANA,Yamuna Nagar,27,279
09-12-2025,HARYANA,Yamunanagar,0,7
09-12-2025,HIMACHAL PRADESH,Bilaspur,13,62
09-12-2025,HIMACHAL PRADESH,Chamba,31,135
09-12-2025,HIMACHAL PRADESH,Hamirpur,13,69
09-12-2025,HIMACHAL PRADESH,Kangra,44,250
09-12-2025,HIMACHAL PRADESH,Kinnaur,2,20
09-12-2025,HIMACHAL PRADESH,Kullu,26,98
09-12-2025,HIMACHAL PRADESH,Lahul And Spiti,3,6
09-12-2025,HIMACHAL PRADESH,Mandi,18,135
09-12-2025,HIMACHAL PRADESH,Shimla,26,148
09-12-2025,HIMACHAL PRADESH,Sirmaur,16,131
09-12-2025,HIMACHAL PRADESH,Solan,15,96
09-12-2025,HIMACHAL PRADESH,Una,16,85
09-12-2025,JAMMU AND KASHMIR,Anantnag,38,202
09-12-2025,JAMMU AND KASHMIR,Badgam,5,100
09-12-2025,JAMMU AND KASHMIR,Bandipore,10,83
09-12-2025,JAMMU AND KASHMIR,Baramula,44,213
09-12-2025,JAMMU AND KASHMIR,Budgam,23,51
09-12-2025,JAMMU AND KASHMIR,Doda,10,143
09-12-2025,JAMMU AND KASHMIR,Ganderbal,8,52
09-12-2025,JAMMU AND KASHMIR,Jammu,15,323
09-12-2025,JAMMU AND KASHMIR,Kargil,12,27
09-12-2025,JAMMU AND KASHMIR,Kathua,9,154
09-12-2025,JAMMU AND KASHMIR,Kishtwar,4,55
09-12-2025,JAMMU AND KASHMIR,Kulgam,24,65
09-12-2025,JAMMU AND KASHMIR,Kupwara,38,154
09-12-2025,JAMMU AND KASHMIR,Leh,0,2
09-12-2025,JAMMU AND KASHMIR,Pulwama,21,130
09-12-2025,JAMMU AND KASHMIR,Punch,32,140
09-12-2025,JAMMU AND KASHMIR,Rajouri,22,134
09-12-2025,JAMMU AND KASHMIR,Ramban,38,71
09-12-2025,JAMMU AND KASHMIR,Reasi,9,66
09-12-2025,JAMMU AND KASHMIR,Samba,6,33
09-12-2025,JAMMU AND KASHMIR,Shupiyan,4,36
09-12-2025,JAMMU AND KASHMIR,Srinagar,46,420
09-12-2025,JAMMU AND KASHMIR,Udhampur,3,150
09-12-2025,JHARKHAND,Bokaro,49,512
09-12-2025,JHARKHAND,Chatra,55,364
09-12-2025,JHARKHAND,Deoghar,46,385
09-12-2025,JHARKHAND,Dhanbad,30,472
09-12-2025,JHARKHAND,Dumka,36,321
09-12-2025,JHARKHAND,East Singhbhum,34,404
09-12-2025,JHARKHAND,Garhwa,57,386
09-12-2025,JHARKHAND,Garhwa *,0,26
09-12-2025,JHARKHAND,Giridih,73,564
09-12-2025,JHARKHAND,Godda,34,327
09-12-2025,JHARKHAND,Gumla,62,498
09-12-2025,JHARKHAND,Hazaribag,2,69
09-12-2025,JHARKHAND,Hazaribagh,39,283
09-12-2025,JHARKHAND,Jamtara,17,268
09-12-2025,JHARKHAND,Khunti,12,121
09-12-2025,JHARKHAND,Kodarma,3,41
09-12-2025,JHARKHAND,Koderma,23,161
09-12-2025,JHARKHAND,Latehar,27,242
09-12-2025,JHARKHAND,Lohardaga,24,181
09-12-2025,JHARKHAND,Pakaur,3,20
09-12-2025,JHARKHAND,Pakur,19,183
09-12-2025,JHARKHAND,Palamau,2,31
09-12-2025,JHARKHAND,Palamu,56,606
09-12-2025,JHARKHAND,Pashchimi Singhbhum,2,85
09-12-2025,JHARKHAND,Purbi Singhbhum,1,41
09-12-2025,JHARKHAND,Ramgarh,18,240
09-12-2025,JHARKHAND,Ranchi,50,600
09-12-2025,JHARKHAND,Sahebganj,40,356
09-12-2025,JHARKHAND,Sahibganj,1,23
09-12-2025,JHARKHAND,Seraikela-Kharsawan,18,208
09-12-2025,JHARKHAND,Seraikela-kharsawan,1,60
09-12-2025,JHARKHAND,Simdega,5,118
09-12-2025,JHARKHAND,West Singhbhum,32,440
09-12-2025,KARNATAKA,Bagalkot,71,291
09-12-2025,KARNATAKA,Bagalkot *,1,8
09-12-2025,KARNATAKA,Ballari,15,130
09-12-2025,KARNATAKA,Bangalore,27,509
09-12-2025,KARNATAKA,Bangalore Rural,12,195
09-12-2025,KARNATAKA,Belagavi,56,320
09-12-2025,KARNATAKA,Belgaum,62,501
09-12-2025,KARNATAKA,Bellary,29,226
09-12-2025,KARNATAKA,Bengaluru,189,1522
09-12-2025,KARNATAKA,Bengaluru South,3,46
09-12-2025,KARNATAKA,Bidar,29,240
09-12-2025,KARNATAKA,Bijapur,27,294
09-12-2025,KARNATAKA,Chamarajanagar,2,23
09-12-2025,KARNATAKA,Chamrajanagar,7,105
09-12-2025,KARNATAKA,Chamrajnagar,2,26
09-12-2025,KARNATAKA,Chickmagalur,12,101
09-12-2025,KARNATAKA,Chikkaballapur,35,318
09-12-2025,KARNATAKA,Chikkamagaluru,7,73
09-12-2025,KARNATAKA,Chikmagalur,4,14
09-12-2025,KARNATAKA,Chitradurga,41,372
09-12-2025,KARNATAKA,Dakshina Kannada,58,476
09-12-2025,KARNATAKA,Davanagere,0,41
09-12-2025,KARNATAKA,Davangere,42,278
09-12-2025,KARNATAKA,Dharwad,40,346
09-12-2025,KARNATAKA,Gadag,20,143
09-12-2025,KARNATAKA,Gadag *,0,4
09-12-2025,KARNATAKA,Gulbarga,32,258
09-12-2025,KARNATAKA,Hasan,2,116
09-12-2025,KARNATAKA,Hassan,28,235
09-12-2025,KARNATAKA,Haveri,50,292
09-12-2025,KARNATAKA,Haveri *,0,10
09-12-2025,KARNATAKA,Kalaburagi,66,273
09-12-2025,KARNATAKA,Kodagu,11,146
09-12-2025,KARNATAKA,Kolar,48,403
09-12-2025,KARNATAKA,Koppal,46,221
09-12-2025,KARNATAKA,Mandya,19,290
09-12-2025,KARNATAKA,Mysore,20,323
09-12-2025,KARNATAKA,Mysuru,24,272
09-12-2025,KARNATAKA,Raichur,74,520
09-12-2025,KARNATAKA,Ramanagar,16,264
09-12-2025,KARNATAKA,Shimoga,21,192
09-12-2025,KARNATAKA,Shivamogga,41,214
09-12-2025,KARNATAKA,Tumakuru,32,296
09-12-2025,KARNATAKA,Tumkur,24,358
09-12-2025,KARNATAKA,Udupi,36,283
09-12-2025,KARNATAKA,Uttara Kannada,38,344
09-12-2025,KARNATAKA,Vijayanagara,18,156
09-12-2025,KARNATAKA,Vijayapura,45,309
09-12-2025,KARNATAKA,Yadgir,46,246
09-12-2025,KERALA,Alappuzha,23,254
09-12-2025,KERALA,Ernakulam,41,515
09-12-2025,KERALA,Idukki,7,128
09-12-2025,KERALA,Kannur,62,802
09-12-2025,KERALA,Kasaragod,24,401
09-12-2025,KERALA,Kasargod,0,42
09-12-2025,KERALA,Kollam,50,387
09-12-2025,KERALA,Kottayam,23,227
09-12-2025,KERALA,Kozhikode,80,1111
09-12-2025,KERALA,Malappuram,116,2496
09-12-2025,KERALA,Palakkad,45,668
09-12-2025,KERALA,Pathanamthitta,28,137
09-12-2025,KERALA,Thiruvananthapuram,38,488
09-12-2025,KERALA,Thrissur,62,923
09-12-2025,KERALA,Wayanad,10,194
09-12-2025,LADAKH,Kargil,14,19
09-12-2025,LADAKH,Leh,2,22
09-12-2025,LAKSHADWEEP,Lakshadweep,2,17
09-12-2025,MADHYA PRADESH,Agar Malwa,8,96
09-12-2025,MADHYA PRADESH,Alirajpur,34,248
09-12-2025,MADHYA PRADESH,Anuppur,17,179
09-12-2025,MADHYA PRADESH,Ashok Nagar,30,258
09-12-2025,MADHYA PRADESH,Balaghat,58,239
09-12-2025,MADHYA PRADESH,Barwani,37,252
09-12-2025,MADHYA PRADESH,Betul,88,209
09-12-2025,MADHYA PRADESH,Bhind,53,482
09-12-2025,MADHYA PRADESH,Bhopal,80,711
09-12-2025,MADHYA PRADESH,Burhanpur,29,91
09-12-2025,MADHYA PRADESH,Chhatarpur,60,597
09-12-2025,MADHYA PRADESH,Chhindwara,62,490
09-12-2025,MADHYA PRADESH,Damoh,49,373
09-12-2025,MADHYA PRADESH,Datia,44,307
09-12-2025,MADHYA PRADESH,Dewas,42,305
09-12-2025,MADHYA PRADESH,Dhar,72,646
09-12-2025,MADHYA PRADESH,Dindori,22,159
09-12-2025,MADHYA PRADESH,East Nimar,5,109
09-12-2025,MADHYA PRADESH,Guna,36,525
09-12-2025,MADHYA PRADESH,Gwalior,98,756
09-12-2025,MADHYA PRADESH,Harda,6,46
09-12-2025,MADHYA PRADESH,Harda *,2,26
09-12-2025,MADHYA PRADESH,Hoshangabad,17,109
09-12-2025,MADHYA PRADESH,Indore,90,699
09-12-2025,MADHYA PRADESH,Jabalpur,22,374
