state_normalized,district_cleaned,enrol_child,enrol_youth,enrol_adult,demo_child,demo_youth,demo_adult,bio_child,bio_youth,bio_adult,total_enrolment,total_updates,update_intensity,youth_pressure,adult_pressure,biometric_ratio,upi,pressure_level
CHHATTISGARH,Dantewada,584,126,0,0,699,1699,0,5327,13601,710,21326,29.99437412,0.282552633,0.717400478,0.887513481,0.413170937,MODERATE
CHHATTISGARH,Dhamtari,1876,89,3,0,3073,41640,0,26826,63452,1968,134991,68.55815135,0.221487199,0.778505393,0.668765556,0.384556502,MODERATE
CHHATTISGARH,Durg,3528,520,47,0,10565,66584,0,76883,102968,4095,257000,62.74414063,0.340263267,0.659732842,0.699806616,0.422365841,MODERATE
CHHATTISGARH,Gariyaband,1307,229,6,0,1307,26292,0,16883,35205,1542,79687,51.64419961,0.228265234,0.771722217,0.653649232,0.366501604,MODERATE
CHHATTISGARH,Gaurela-pendra-marwahi,115,20,5,0,439,2986,0,679,1610,140,5714,40.5248227,0.195625547,0.804199475,0.400524934,0.289674146,MODERATE
CHHATTISGARH,Gaurella Pendra Marwahi,623,290,70,0,0,0,0,0,0,983,0,0,0,0,0,0,LOW
CHHATTISGARH,Janjgir - Champa,32,1,0,0,11,204,0,5,195,33,415,12.20588235,0.038461538,0.959134615,0.480769231,0.230256406,LOW
CHHATTISGARH,Janjgir Champa,21,4,0,0,5,231,0,21,171,25,428,16.46153846,0.060606061,0.937062937,0.447552448,0.234051897,LOW
CHHATTISGARH,Janjgir-Champa,4066,572,1,0,7192,104968,0,51955,128699,4639,292814,63.10646552,0.201994433,0.798002152,0.616956099,0.361708898,MODERATE
CHHATTISGARH,Jashpur,1666,875,2,0,8700,62323,0,30250,44353,2543,145626,57.24292453,0.267464138,0.732528995,0.512288243,0.353133828,MODERATE
CHHATTISGARH,Kabeerdham,860,92,3,0,3034,24067,0,16628,15889,955,59618,62.36192469,0.329794193,0.670189034,0.545413375,0.384804077,MODERATE
CHHATTISGARH,Kanker,1426,277,2,0,2867,25973,0,19607,33602,1705,82049,48.0943728,0.273906155,0.726081658,0.64849482,0.375965874,MODERATE
CHHATTISGARH,Kawardha,1884,257,1,0,4631,62369,0,23941,36850,2142,127791,59.63182455,0.223582071,0.776410104,0.475702704,0.33388346,MODERATE
CHHATTISGARH,Khairagarh Chhuikhadan Gandai,183,63,0,0,641,5462,0,132,903,246,7138,28.89878543,0.10827847,0.891581454,0.144978288,0.194893703,LOW
CHHATTISGARH,Kondagaon,1975,1054,9,0,4193,57771,0,17291,40055,3038,119310,39.25962488,0.180067219,0.819924399,0.480643025,0.301227283,MODERATE
CHHATTISGARH,Korba,3040,489,13,0,6101,77273,0,32907,68967,3542,185248,52.28563364,0.210570637,0.789423965,0.549930094,0.33886287,MODERATE
CHHATTISGARH,Koriya,1258,504,1,0,2301,29434,0,19055,41842,1763,92632,52.51247166,0.230544191,0.769445014,0.65740071,0.36889591,MODERATE
CHHATTISGARH,Mahasamund,2773,563,25,0,8593,126294,0,30360,69509,3361,234756,69.82629387,0.165929024,0.834066716,0.425414365,0.315124894,MODERATE
CHHATTISGARH,Manendragarh–Chirmiri–Bharatpur,188,106,0,0,395,4718,0,46,235,294,5394,18.28474576,0.081742354,0.918072289,0.052085264,0.155692889,LOW
CHHATTISGARH,Mohalla-Manpur-Ambagarh Chowki,10,4,0,0,32,149,0,36,31,14,248,16.53333333,0.273092369,0.722891566,0.269076305,0.260501655,MODERATE
CHHATTISGARH,Mohla-Manpur-Ambagarh Chouki,162,93,4,0,3477,16334,0,1060,3535,259,24406,93.86923077,0.185889294,0.814069734,0.188265661,0.293093105,MODERATE
CHHATTISGARH,Mungeli,2600,355,2,0,3835,66729,0,28914,53653,2957,153131,51.76842461,0.213861244,0.786132226,0.539188413,0.337005555,MODERATE
CHHATTISGARH,Narayanpur,448,306,8,0,2057,14708,0,7156,15017,762,38938,51.0327654,0.236600837,0.763373482,0.569429107,0.349958913,MODERATE
CHHATTISGARH,Raigarh,4294,625,37,0,5194,78242,0,39625,135001,4956,258062,52.06011701,0.173674645,0.82632148,0.676679725,0.355078871,MODERATE
CHHATTISGARH,Raipur,6205,779,57,0,12289,120718,0,59735,132634,7041,325376,46.20505538,0.221355535,0.778641391,0.591218802,0.34522775,MODERATE
CHHATTISGARH,Rajnandgaon,3791,371,23,0,10303,137815,0,53657,100841,4185,302616,72.29240325,0.211356269,0.788640427,0.510539725,0.350354629,MODERATE
CHHATTISGARH,Sakti,373,80,2,0,967,8718,0,644,3380,455,13709,30.06359649,0.11750547,0.88242159,0.293508388,0.231566264,LOW
CHHATTISGARH,Sarangarh-Bilaigarh,159,24,3,0,622,7433,0,113,930,186,9098,48.65240642,0.080778107,0.91911199,0.114627981,0.199366873,LOW
CHHATTISGARH,Sukma,1256,804,119,0,1509,11237,0,13922,16217,2179,42885,19.67201835,0.359814392,0.640162291,0.702770135,0.386210111,MODERATE
CHHATTISGARH,Surajpur,2250,720,7,0,3394,38673,0,24586,47236,2977,113889,38.24345198,0.245675652,0.754315568,0.630626043,0.35349678,MODERATE
CHHATTISGARH,Surguja,2866,679,11,0,9129,106554,0,30222,52638,3556,198543,55.81754287,0.198197881,0.801797083,0.417338222,0.30940019,MODERATE
CHHATTISGARH,Uttar Bastar Kanker,718,162,8,0,1113,12455,0,7038,23263,888,43869,49.34645669,0.185798951,0.814178254,0.690699795,0.359212162,MODERATE
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Dadra And Nagar Haveli,618,151,35,0,145,1544,0,550,1428,804,3667,4.555279503,0.189476554,0.810250818,0.539258451,0.282466905,MODERATE
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Daman,49,5,9,0,107,1580,0,190,331,63,2208,34.5,0.134449977,0.865097329,0.235853327,0.228514094,LOW
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Diu,12,6,4,0,54,310,0,13,20,22,397,17.26086957,0.168341709,0.829145729,0.082914573,0.18802591,LOW
DELHI,Central Delhi,2761,993,193,0,4432,44615,0,23688,30372,3947,103107,26.1162614,0.272723746,0.727266555,0.524304613,0.326431473,MODERATE
DELHI,East Delhi,8055,2458,223,0,24960,162101,0,53829,68976,10736,309866,28.85964422,0.254267153,0.745729619,0.396315193,0.295313104,MODERATE
DELHI,Najafgarh,21,9,0,0,9,186,0,51,794,30,1040,33.5483871,0.057636888,0.941402498,0.8117195,0.330324836,MODERATE
DELHI,New Delhi,918,502,217,0,547,3514,0,2501,2062,1637,8624,5.264957265,0.353391304,0.646492754,0.529043478,0.331687869,MODERATE
DELHI,North Delhi,3148,1230,81,0,9317,77583,0,25642,35188,4459,147730,33.12331839,0.236639568,0.763353663,0.411761919,0.297493626,MODERATE
DELHI,North East,1328,408,2,0,360,11467,0,2393,44227,1738,58447,33.60954572,0.047101697,0.952881194,0.797632083,0.324122555,MODERATE
DELHI,North East   *,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,LOW
DELHI,North East Delhi,8299,3749,65,0,25389,115759,0,77278,65818,12113,284244,23.46409113,0.361191929,0.638804552,0.503424862,0.34659114,MODERATE
DELHI,North West Delhi,12395,3293,355,0,39744,274245,0,133575,191718,16043,639282,39.84554974,0.271114671,0.728883765,0.508840373,0.336195749,MODERATE
DELHI,Shahdara,1121,515,64,0,4681,23863,0,2658,5305,1700,36507,21.46208113,0.201024433,0.798948176,0.218116577,0.232294985,LOW
DELHI,South Delhi,10138,2780,477,0,20329,193160,0,96661,126275,13395,436425,32.57875485,0.268063773,0.731933936,0.510821995,0.328456147,MODERATE
DELHI,South East Delhi,46,9,5,0,124,1045,0,239,343,60,1751,28.70491803,0.207191781,0.792237443,0.332191781,0.266432642,MODERATE
DELHI,South West Delhi,6951,1945,359,0,19940,149759,0,66558,74969,9255,311226,33.62424373,0.277925758,0.722071029,0.454738824,0.320221044,MODERATE
DELHI,West Delhi,14000,4405,1009,0,25703,206102,0,71164,102078,19414,405047,20.86258048,0.239149434,0.760848097,0.427707333,0.289576486,MODERATE
Dadra & Nagar Haveli,Dadra & Nagar Haveli,22,3,0,0,32,203,0,72,481,25,788,30.30769231,0.131812421,0.866920152,0.700887199,0.32566905,MODERATE
Dadra and Nagar Haveli,Dadra and Nagar Haveli,669,71,4,0,1310,4723,0,10791,16444,744,33268,44.65503356,0.363732003,0.636237939,0.818629956,0.437749589,MODERATE
Daman & Diu,Daman,8,1,0,0,23,354,0,360,1052,9,1789,178.9,0.21396648,0.78547486,0.788826816,0.518357785,HIGH
Daman & Diu,Diu,12,0,0,0,18,249,0,171,602,12,1040,80,0.181556196,0.817483189,0.742555235,0.399704243,MODERATE
Daman and Diu,Daman,47,11,0,0,164,940,0,2411,1622,58,5137,87.06779661,0.50116777,0.498637602,0.784935773,0.515075195,HIGH
Daman and Diu,Diu,60,2,0,0,70,378,0,1804,926,62,3178,50.44444444,0.589493551,0.410191884,0.858760617,0.522194124,HIGH
GOA,Bardez,2,0,0,0,2,29,0,9,31,2,71,23.66666667,0.152777778,0.833333333,0.555555556,0.292332517,MODERATE
GOA,North Goa,1109,146,99,0,1713,17130,0,18320,19451,1354,56614,41.78154982,0.353846154,0.646136183,0.667155348,0.398533634,MODERATE
GOA,South Goa,805,108,64,0,1560,14678,0,15915,14669,977,46822,47.87525562,0.373214019,0.626764624,0.653183265,0.407521147,MODERATE
GUJARAT,Ahmadabad,4105,2322,240,0,320,7440,0,958,14724,6667,23442,3.515596881,0.054515207,0.945442136,0.668941688,0.268181739,MODERATE
GUJARAT,Ahmedabad,12844,5679,607,0,31732,236152,0,165891,239599,19130,673374,35.19805551,0.293481344,0.706517171,0.602175608,0.359012839,MODERATE
GUJARAT,Amreli,3460,587,246,0,2578,25310,0,33978,34536,4293,96402,22.4503959,0.379199817,0.620789809,0.710704024,0.396721334,MODERATE
GUJARAT,Anand,5616,828,536,0,3523,35626,0,50966,62729,6980,152844,21.89428449,0.356498413,0.643495044,0.743858157,0.396428538,MODERATE
GUJARAT,Arvalli,1952,322,117,0,1810,6286,0,19089,10580,2391,37765,15.78804348,0.553381348,0.446592173,0.785600805,0.460477411,MODERATE
GUJARAT,Banas Kantha,5997,6719,782,0,33,440,0,59,488,13498,1020,0.075561153,0.090107738,0.908912831,0.535749265,0.246404388,LOW
GUJARAT,Banaskantha,9944,5781,1635,0,9778,65429,0,74015,77742,17360,226964,13.07321007,0.369189082,0.630806512,0.668636133,0.375044812,MODERATE
GUJARAT,Bharuch,3745,508,98,0,6975,42831,0,38361,38017,4351,126184,28.99448529,0.359282007,0.640710069,0.60528589,0.373893677,MODERATE
GUJARAT,Bhavnagar,8420,1309,445,0,6530,51332,0,65784,75368,10174,199014,19.55911548,0.363359546,0.636635429,0.709253071,0.388622214,MODERATE
GUJARAT,Botad,2302,474,171,0,1463,6082,0,10356,5900,2947,23801,8.073609227,0.496554911,0.503403075,0.682967818,0.412646471,MODERATE
GUJARAT,Chhotaudepur,2215,1303,589,0,1857,7774,0,18603,15199,4107,43433,10.57278481,0.471059539,0.528917438,0.778238247,0.428184912,MODERATE
GUJARAT,Dahod,5341,3891,1277,0,4796,31140,0,60236,55439,10509,151611,14.42540438,0.428937023,0.571056381,0.762967311,0.415622888,MODERATE
GUJARAT,Dang,531,179,162,0,0,0,0,0,0,872,0,0,0,0,0,0,LOW
GUJARAT,Devbhumi Dwarka,1845,422,223,0,835,5751,0,17817,7647,2490,32050,12.86631875,0.581947521,0.418021279,0.794483791,0.468365907,MODERATE
GUJARAT,Dohad,5003,7330,670,0,315,4897,0,2168,13548,13003,20928,1.609350969,0.118639209,0.881313011,0.750919776,0.304156535,MODERATE
GUJARAT,Gandhinagar,4075,837,738,0,6930,57658,0,33686,42878,5650,141152,24.97823394,0.287744504,0.712248411,0.54241851,0.333931325,MODERATE
GUJARAT,Gir Somnath,4375,975,373,0,2323,9743,0,23900,12866,5723,48832,8.531097135,0.536993427,0.462986095,0.752892511,0.440993795,MODERATE
GUJARAT,Jamnagar,4998,799,281,0,4166,41553,0,40890,40212,6078,126821,20.86214838,0.35526959,0.644722524,0.639494725,0.372079526,MODERATE
GUJARAT,Junagadh,4876,568,92,0,3875,34170,0,33995,68677,5536,140717,25.41394257,0.2691198,0.730873094,0.729629472,0.369752284,MODERATE
GUJARAT,Kachchh,6176,2605,521,0,7742,59047,0,67370,56591,9302,190750,20.50413845,0.393769888,0.606224869,0.649857668,0.385920446,MODERATE
GUJARAT,Kheda,5826,1224,517,0,5991,46628,0,49735,67426,7567,169780,22.43393235,0.328222828,0.671771282,0.690071327,0.376388479,MODERATE
GUJARAT,Mahesana,5289,908,293,0,6530,43687,0,42954,56959,6490,150130,23.12894777,0.329605478,0.670387861,0.665505459,0.37210786,MODERATE
GUJARAT,Mahisagar,2036,397,130,0,918,6589,0,18042,12910,2563,38459,14.99960998,0.492979719,0.50699428,0.804784191,0.445210837,MODERATE
GUJARAT,Morbi,5548,1803,653,0,3044,16755,0,21440,10439,8004,51678,6.455715178,0.473770777,0.526209872,0.616865651,0.389454667,MODERATE
GUJARAT,Narmada,1155,96,29,0,2729,12028,0,15333,23865,1280,53955,42.11943794,0.334754244,0.665227222,0.726480836,0.406000398,MODERATE
GUJARAT,Navsari,2453,201,103,0,5085,24517,0,24168,21384,2757,75154,27.24945613,0.38923558,0.610751114,0.606107378,0.381610357,MODERATE
GUJARAT,Panch Mahals,858,444,100,0,15,402,0,22,305,1402,744,0.530292231,0.04966443,0.948993289,0.438926174,0.213015989,LOW
GUJARAT,Panchmahals,4828,1122,329,0,3200,29270,0,39189,65579,6279,137238,21.85318471,0.308869928,0.691122786,0.763398159,0.385938141,MODERATE
GUJARAT,Patan,6023,2228,716,0,3100,26459,0,35135,38814,8967,103508,11.54192685,0.369388169,0.63060217,0.714420968,0.3836468,MODERATE
GUJARAT,Porbandar,2006,332,181,0,1801,12822,0,14257,16728,2519,45608,18.0984127,0.352079633,0.647898441,0.67936153,0.377104214,MODERATE
GUJARAT,Rajkot,12419,3732,919,0,10174,127426,0,79522,89189,17070,306311,17.94335423,0.292825616,0.70717112,0.550781556,0.330343221,MODERATE
GUJARAT,Sabar Kantha,1083,1197,157,0,41,602,0,59,558,2437,1260,0.516817063,0.079302141,0.919904837,0.489294211,0.233305171,LOW
GUJARAT,Sabarkantha,3603,1173,339,0,5607,38270,0,37100,53287,5115,134264,26.24394058,0.318079917,0.681912635,0.673198525,0.373330319,MODERATE
GUJARAT,Surat,18412,6399,658,0,35198,322384,0,138828,142771,25469,639181,25.09544562,0.272263612,0.727734824,0.44056153,0.306865472,MODERATE
GUJARAT,Surendra Nagar,4853,1665,337,0,3636,35123,0,44699,51012,6855,134470,19.61347725,0.359445531,0.640547032,0.711759413,0.388015318,MODERATE
GUJARAT,Surendranagar,771,593,78,0,19,894,0,46,481,1442,1440,0.997920998,0.045107564,0.954198473,0.365718251,0.196043141,LOW
GUJARAT,Tapi,1856,205,151,0,2645,9545,0,16731,23294,2212,52215,23.59466787,0.371074,0.628906848,0.766527501,0.40761472,MODERATE
GUJARAT,The Dangs,1068,186,74,0,1477,5104,0,12787,15163,1328,34531,25.98269375,0.413066142,0.5869049,0.809394185,0.432412822,MODERATE
GUJARAT,Vadodara,9306,2433,545,0,10942,89085,0,72719,128698,12284,301444,24.53756614,0.277533215,0.722463468,0.66817164,0.357975432,MODERATE
GUJARAT,Valsad,5818,1406,224,0,8741,39602,0,39767,44257,7448,132367,17.76976775,0.366463194,0.633529252,0.634775777,0.371430532,MODERATE
HARYANA,Ambala,3063,122,33,0,3958,29284,0,26591,46165,3218,105998,32.92885989,0.288200832,0.711789734,0.686383834,0.373630284,MODERATE
HARYANA,Bhiwani,3321,152,16,0,4004,30276,0,37865,57760,3489,129905,37.22206304,0.32230228,0.677690022,0.736109187,0.399390149,MODERATE
HARYANA,Charkhi Dadri,839,19,0,0,1698,10397,0,3023,6765,858,21883,25.4749709,0.215728386,0.784225918,0.44726741,0.291210667,MODERATE
HARYANA,Faridabad,12607,3225,323,0,19754,140801,0,58976,59975,16155,279506,17.30044565,0.28167452,0.718321902,0.425574315,0.298727936,MODERATE
HARYANA,Fatehabad,2510,92,10,0,4592,37378,0,29864,39930,2612,111764,42.77229238,0.308289715,0.691701338,0.624470988,0.37603403,MODERATE
HARYANA,Gurgaon,5417,1247,197,0,13524,105689,0,35245,35546,6861,190004,27.68930341,0.256672193,0.743322544,0.372574406,0.289674164,MODERATE
HARYANA,Gurugram,1804,625,207,0,0,0,0,0,0,2636,0,0,0,0,0,0,LOW
HARYANA,Hisar,4927,289,18,0,6665,56541,0,53323,62544,5234,179073,34.20687679,0.334990004,0.665004412,0.647034187,0.380737312,MODERATE
HARYANA,Jhajjar,2515,99,10,0,3763,28621,0,24917,31722,2624,89023,33.91352381,0.322160316,0.677828451,0.636221693,0.374096219,MODERATE
HARYANA,Jhajjar *,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,LOW
HARYANA,Jind,3729,92,0,0,4923,39090,0,34877,56391,3821,135281,35.39534275,0.294200263,0.705792345,0.67464999,0.375362631,MODERATE
HARYANA,Kaithal,2894,85,12,0,4992,34982,0,34402,45534,2991,119910,40.07687166,0.328526991,0.67146467,0.666627749,0.388884125,MODERATE
HARYANA,Karnal,3861,179,8,0,6828,42303,0,32424,61595,4048,143150,35.3544085,0.274199971,0.725793044,0.656781999,0.365202486,MODERATE
HARYANA,Kurukshetra,2315,78,11,0,3517,25192,0,23358,46634,2404,98701,41.03991684,0.27228425,0.727705619,0.709124435,0.381772384,MODERATE
HARYANA,Mahendragarh,2575,155,24,0,3104,25430,0,20501,28331,2754,77366,28.08203267,0.305104243,0.694882831,0.631173498,0.361903665,MODERATE
HARYANA,Mewat,6989,550,19,0,6364,60303,0,38268,30057,7558,134992,17.85844688,0.330624551,0.669368041,0.506137355,0.332146251,MODERATE
HARYANA,Nuh,1251,213,42,0,0,0,0,0,0,1506,0,0,0,0,0,0,LOW
HARYANA,Palwal,4367,332,4,0,7265,61703,0,30617,28080,4703,127665,27.13966837,0.296727398,0.703264769,0.459770025,0.320694824,MODERATE
HARYANA,Panchkula,1287,92,5,0,5417,29001,0,18303,19066,1384,71787,51.83176895,0.33041734,0.66956873,0.520546609,0.369053229,MODERATE
HARYANA,Panipat,5498,543,47,0,9431,59653,0,31426,48347,6088,148857,24.44687141,0.274469629,0.725523653,0.535899985,0.327860104,MODERATE
HARYANA,Rewari,2329,150,6,0,6191,37840,0,24987,24745,2485,93763,37.71641191,0.332515678,0.667473657,0.530395461,0.357823029,MODERATE
HARYANA,Rohtak,3161,191,61,0,4152,22379,0,25700,50270,3413,102501,30.02372583,0.291233342,0.708756902,0.74115627,0.383718599,MODERATE
HARYANA,Sirsa,3135,198,2,0,4976,50186,0,40642,56424,3335,152228,45.63189448,0.299666949,0.700326482,0.637631463,0.379103192,MODERATE
HARYANA,Sonipat,4314,268,37,0,7748,52916,0,34624,50029,4619,145317,31.4538961,0.291581222,0.708411897,0.582536231,0.350381344,MODERATE
HARYANA,Yamuna Nagar,3278,110,8,0,6421,46460,0,33592,55136,3396,141609,41.68648808,0.282557729,0.717435209,0.62656592,0.367448257,MODERATE
HARYANA,Yamunanagar,56,3,0,0,27,401,0,142,740,59,1310,21.83333333,0.12890923,0.870327994,0.672768879,0.310207889,MODERATE
HIMACHAL PRADESH,Bilaspur,985,14,0,0,932,5828,0,9673,12233,999,28666,28.666,0.369937559,0.630027558,0.764153905,0.411785648,MODERATE
HIMACHAL PRADESH,Chamba,1586,64,7,0,3354,16304,0,16275,17567,1657,53500,32.26779252,0.366890338,0.63309097,0.632548924,0.385498027,MODERATE
HIMACHAL PRADESH,Hamirpur,1181,16,1,0,883,6437,0,11206,12613,1198,31139,25.97080901,0.388214515,0.611753372,0.76490045,0.414926409,MODERATE
HIMACHAL PRADESH,Kangra,3869,75,22,0,3693,30434,0,44703,45210,3966,124040,31.26796068,0.390161318,0.609830621,0.724865166,0.412001651,MODERATE
HIMACHAL PRADESH,Kinnaur,137,21,5,0,141,1028,0,2221,2246,163,5636,34.36585366,0.419017208,0.580805393,0.792442789,0.438855338,MODERATE
HIMACHAL PRADESH,Kullu,1022,111,106,0,1211,8391,0,11409,9839,1239,30850,24.87903226,0.409062915,0.590904671,0.688729701,0.403550189,MODERATE
HIMACHAL PRADESH,Lahaul and Spiti,3,0,0,0,15,44,0,15,32,3,106,26.5,0.280373832,0.710280374,0.439252336,0.30954445,MODERATE
HIMACHAL PRADESH,Lahul And Spiti,67,3,0,0,76,434,0,667,693,70,1870,26.33802817,0.397113843,0.602351684,0.726884019,0.409639347,MODERATE
HIMACHAL PRADESH,Mandi,2460,43,11,0,2289,14016,0,28869,34465,2514,79639,31.66560636,0.39123556,0.608751883,0.795253641,0.428202418,MODERATE
HIMACHAL PRADESH,Shimla,1488,161,21,0,1841,13901,0,19863,19864,1670,55469,33.19509276,0.391274563,0.608707409,0.716188931,0.412355595,MODERATE
HIMACHAL PRADESH,Sirmaur,1510,67,7,0,2634,16784,0,15275,16178,1584,50871,32.09526814,0.352040415,0.647939928,0.618277245,0.377591804,MODERATE
HIMACHAL PRADESH,Solan,1105,65,6,0,1260,7723,0,16252,17317,1176,42552,36.15293118,0.411533852,0.588442648,0.78887505,0.437548074,MODERATE
HIMACHAL PRADESH,Una,1226,21,0,0,1095,8466,0,15138,16411,1247,41110,32.94070513,0.394857824,0.605117852,0.767410182,0.424470737,MODERATE
JAMMU AND KASHMIR,Anantnag,2978,341,35,0,5246,30320,0,26948,20621,3354,83135,24.77943368,0.387244996,0.612742975,0.572182929,0.371079143,MODERATE
JAMMU AND KASHMIR,Badgam,1674,192,1,0,892,11227,0,4702,9439,1867,26260,14.05781585,0.213015498,0.786946422,0.538479114,0.299061638,MODERATE
JAMMU AND KASHMIR,Bandipore,1288,308,43,0,2600,13294,0,10653,9720,1639,36267,22.11402439,0.365418551,0.634553877,0.561734863,0.359371703,MODERATE
JAMMU AND KASHMIR,Bandipur,2,0,0,0,0,1,0,0,1,2,2,0.666666667,0,0.666666667,0.333333333,0.141112654,LOW
JAMMU AND KASHMIR,Baramula,3198,532,64,0,5160,31635,0,28536,33399,3794,98730,26.01581028,0.341290983,0.658698889,0.627310571,0.370201488,MODERATE
JAMMU AND KASHMIR,Budgam,793,51,15,0,5738,12884,0,18502,4609,859,41733,48.52674419,0.580821393,0.419154646,0.553769109,0.450586454,MODERATE
JAMMU AND KASHMIR,Doda,3449,1023,32,0,1109,10268,0,19429,17350,4504,48156,10.68945616,0.426480055,0.57349918,0.763731129,0.411311378,MODERATE
JAMMU AND KASHMIR,Ganderbal,773,59,11,0,1034,6495,0,7268,6428,843,21225,25.14810427,0.391124093,0.608828795,0.645246396,0.388704344,MODERATE
JAMMU AND KASHMIR,Jammu,3749,835,36,0,2486,32630,0,45899,52900,4620,133915,28.97965808,0.361308581,0.638683951,0.737768452,0.403629037,MODERATE
JAMMU AND KASHMIR,Kargil,388,141,1,0,508,1548,0,1848,1075,530,4979,9.376647834,0.473092369,0.526706827,0.586947791,0.385556136,MODERATE
JAMMU AND KASHMIR,Kathua,2643,310,9,0,1775,18703,0,23083,17080,2962,60641,20.46608167,0.409913921,0.590069589,0.662296758,0.393613688,MODERATE
JAMMU AND KASHMIR,Kishtwar,1058,205,6,0,967,4901,0,10878,10042,1269,26788,21.09291339,0.442159095,0.557803576,0.780917541,0.430293269,MODERATE
JAMMU AND KASHMIR,Kulgam,970,232,9,0,2329,10078,0,14367,11377,1211,38151,31.47772277,0.437617949,0.56235584,0.674774586,0.415889053,MODERATE
JAMMU AND KASHMIR,Kupwara,2400,444,40,0,7740,37397,0,24776,24984,2884,94897,32.8932409,0.342641573,0.657347889,0.524352463,0.354830239,MODERATE
JAMMU AND KASHMIR,Leh,163,42,1,0,291,1136,0,1641,923,206,3991,19.28019324,0.483967936,0.515781563,0.642284569,0.41093653,MODERATE
JAMMU AND KASHMIR,Leh (ladakh),3,0,0,0,4,3,0,9,2,3,18,4.5,0.684210526,0.263157895,0.578947368,0.439019696,MODERATE
JAMMU AND KASHMIR,Pulwama,1742,118,15,0,3432,18055,0,20583,12249,1875,54319,28.95469083,0.442102356,0.557879234,0.604418262,0.399301714,MODERATE
JAMMU AND KASHMIR,Punch,2064,548,17,0,4052,19388,0,25884,20491,2629,69815,26.54562738,0.428784233,0.571201444,0.664246018,0.405933544,MODERATE
JAMMU AND KASHMIR,Rajauri,1,1,0,0,0,15,0,2,10,2,27,9,0.071428571,0.892857143,0.428571429,0.222441653,LOW
JAMMU AND KASHMIR,Rajouri,2071,594,9,0,2395,13413,0,29902,25834,2674,71544,26.74542056,0.451422182,0.548563841,0.779034174,0.438373654,MODERATE
JAMMU AND KASHMIR,Ramban,1317,597,6,0,1857,5897,0,21848,8029,1920,37631,19.58927642,0.629916029,0.370057398,0.793925383,0.48978316,MODERATE
JAMMU AND KASHMIR,Reasi,1136,570,9,0,1119,7281,0,12538,10702,1715,31640,18.43822844,0.431623526,0.568344869,0.73449006,0.414184963,MODERATE
JAMMU AND KASHMIR,Samba,532,47,9,0,628,4492,0,6837,4388,588,16345,27.75042445,0.456686651,0.543252172,0.686712346,0.42070423,MODERATE
JAMMU AND KASHMIR,Shopian,308,84,20,0,0,0,0,0,0,412,0,0,0,0,0,0,LOW
JAMMU AND KASHMIR,Shupiyan,537,128,1,0,1844,6363,0,9253,6276,666,23736,35.5862069,0.467497999,0.532459873,0.654210726,0.424705315,MODERATE
JAMMU AND KASHMIR,Srinagar,2853,271,135,0,3495,36221,0,32592,40252,3259,112560,34.52760736,0.320599497,0.679391619,0.647151322,0.376626869,MODERATE
JAMMU AND KASHMIR,Udhampur,2448,349,11,0,1172,15681,0,22370,23116,2808,62339,22.19259523,0.377638755,0.622345204,0.729643888,0.400144387,MODERATE
JAMMU AND KASHMIR,punch,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,LOW
JHARKHAND,Bokaro,3505,2278,17,0,4424,66249,0,45931,62498,5800,179102,30.87433201,0.281151069,0.718843347,0.605400245,0.351601872,MODERATE
JHARKHAND,Bokaro *,2,0,0,0,0,0,0,1,2,2,3,1,0.25,0.5,0.75,0.3188287,MODERATE
JHARKHAND,Chatra,3448,2819,35,0,3989,43307,0,32491,35201,6302,114988,18.24337617,0.317247737,0.682743567,0.588682396,0.346533238,MODERATE
JHARKHAND,Deoghar,4518,3679,127,0,4022,56038,0,33194,34232,8324,127486,15.31363363,0.29191996,0.708072196,0.528885298,0.322632455,MODERATE
JHARKHAND,Dhanbad,6878,4061,92,0,5776,102021,0,52546,98523,11031,258866,23.46501088,0.22529716,0.774698977,0.583577667,0.322141308,MODERATE
JHARKHAND,Dumka,2743,2996,86,0,4019,55639,0,36526,39686,5825,135870,23.32131823,0.298408049,0.701584591,0.560914397,0.339649648,MODERATE
JHARKHAND,East Singhbhum,5983,2109,99,0,4140,56520,0,59424,76682,8191,196766,24.01928711,0.323041974,0.676952944,0.691711517,0.376722696,MODERATE
JHARKHAND,East Singhbum,848,546,53,0,0,0,0,0,0,1447,0,0,0,0,0,0,LOW
JHARKHAND,Garhwa,4523,1535,15,0,3459,36814,0,41415,58043,6073,139731,23.00477445,0.321143332,0.678849512,0.71177683,0.379536056,MODERATE
JHARKHAND,Garhwa *,314,67,0,0,44,2072,0,535,5049,381,7700,20.15706806,0.075185041,0.924685106,0.725100636,0.303475586,MODERATE
JHARKHAND,Giridih,7695,6526,82,0,9740,115931,0,53614,56796,14303,236081,16.50454418,0.26835591,0.731639854,0.467676485,0.303067785,MODERATE
JHARKHAND,Godda,3238,2135,17,0,3785,53892,0,44532,36402,5390,138611,25.7115563,0.348577324,0.651415462,0.583888841,0.362609652,MODERATE
