date,state_normalized,district_cleaned,age_0_5,age_5_17,age_18_greater
11-11-2025,MADHYA PRADESH,Rewa,103,15,1
11-11-2025,MADHYA PRADESH,Sagar,125,11,4
11-11-2025,MADHYA PRADESH,Satna,137,14,0
11-11-2025,MADHYA PRADESH,Sehore,51,11,1
11-11-2025,MADHYA PRADESH,Seoni,93,8,3
11-11-2025,MADHYA PRADESH,Shahdol,49,6,0
11-11-2025,MADHYA PRADESH,Shajapur,111,21,0
11-11-2025,MADHYA PRADESH,Sheopur,28,26,1
11-11-2025,MADHYA PRADESH,Shivpuri,40,39,25
11-11-2025,MADHYA PRADESH,Sidhi,49,12,1
11-11-2025,MADHYA PRADESH,Singrauli,66,7,2
11-11-2025,MADHYA PRADESH,Tikamgarh,87,19,1
11-11-2025,MADHYA PRADESH,Ujjain,181,29,16
11-11-2025,MADHYA PRADESH,Umaria,74,13,0
11-11-2025,MADHYA PRADESH,Vidisha,74,12,0
11-11-2025,MADHYA PRADESH,West Nimar,2,0,0
11-11-2025,MAHARASHTRA,Ahmadnagar,71,18,17
11-11-2025,MAHARASHTRA,Ahmed Nagar,2,1,0
11-11-2025,MAHARASHTRA,Akola,37,6,0
11-11-2025,MAHARASHTRA,Amravati,52,8,1
11-11-2025,MAHARASHTRA,Aurangabad,103,33,0
11-11-2025,MAHARASHTRA,Beed,83,16,6
11-11-2025,MAHARASHTRA,Bhandara,18,0,2
11-11-2025,MAHARASHTRA,Bid,15,2,0
11-11-2025,MAHARASHTRA,Buldana,7,0,0
11-11-2025,MAHARASHTRA,Buldhana,50,13,2
11-11-2025,MAHARASHTRA,Chandrapur,23,1,0
11-11-2025,MAHARASHTRA,Chatrapati Sambhaji Nagar,2,0,0
11-11-2025,MAHARASHTRA,Chhatrapati Sambhajinagar,3,2,0
11-11-2025,MAHARASHTRA,Dharashiv,1,0,1
11-11-2025,MAHARASHTRA,Dhule,63,36,0
11-11-2025,MAHARASHTRA,Gadchiroli,40,8,0
11-11-2025,MAHARASHTRA,Gondia,1,0,0
11-11-2025,MAHARASHTRA,Gondiya,36,0,0
11-11-2025,MAHARASHTRA,Gondiya *,1,0,0
11-11-2025,MAHARASHTRA,Hingoli,24,6,0
11-11-2025,MAHARASHTRA,Jalgaon,98,17,1
11-11-2025,MAHARASHTRA,Jalna,45,14,2
11-11-2025,MAHARASHTRA,Kolhapur,71,12,0
11-11-2025,MAHARASHTRA,Latur,73,24,0
11-11-2025,MAHARASHTRA,Mumbai,125,43,2
11-11-2025,MAHARASHTRA,Mumbai City,28,5,1
11-11-2025,MAHARASHTRA,Mumbai Suburban,99,36,9
11-11-2025,MAHARASHTRA,Mumbai( Sub Urban ),1,0,0
11-11-2025,MAHARASHTRA,Nagpur,99,8,1
11-11-2025,MAHARASHTRA,Nanded,68,17,10
11-11-2025,MAHARASHTRA,Nandurbar,54,16,1
11-11-2025,MAHARASHTRA,Nashik,167,55,0
11-11-2025,MAHARASHTRA,Osmanabad,38,8,0
11-11-2025,MAHARASHTRA,Palghar,78,24,2
11-11-2025,MAHARASHTRA,Parbhani,48,4,0
11-11-2025,MAHARASHTRA,Pune,193,51,44
11-11-2025,MAHARASHTRA,Raigad,19,10,0
11-11-2025,MAHARASHTRA,Raigarh,57,11,0
11-11-2025,MAHARASHTRA,Ratnagiri,17,3,0
11-11-2025,MAHARASHTRA,Sangli,42,12,0
11-11-2025,MAHARASHTRA,Satara,35,0,0
11-11-2025,MAHARASHTRA,Sindhudurg,14,0,0
11-11-2025,MAHARASHTRA,Solapur,76,29,0
11-11-2025,MAHARASHTRA,Thane,192,75,8
11-11-2025,MAHARASHTRA,Wardha,28,0,0
11-11-2025,MAHARASHTRA,Washim,14,0,0
11-11-2025,MAHARASHTRA,Yavatmal,42,11,0
11-11-2025,MANIPUR,Bishnupur,8,3,0
11-11-2025,MANIPUR,Chandel,0,4,0
11-11-2025,MANIPUR,Churachandpur,8,13,0
11-11-2025,MANIPUR,Imphal East,3,8,0
11-11-2025,MANIPUR,Imphal West,6,8,0
11-11-2025,MANIPUR,Kakching,0,4,0
11-11-2025,MANIPUR,Senapati,9,7,0
11-11-2025,MANIPUR,Tamenglong,6,9,0
11-11-2025,MANIPUR,Thoubal,3,8,1
11-11-2025,MANIPUR,Ukhrul,4,4,0
11-11-2025,MEGHALAYA,East Garo Hills,2,3,0
11-11-2025,MEGHALAYA,East Jaintia Hills,3,3,7
11-11-2025,MEGHALAYA,East Khasi Hills,16,40,104
11-11-2025,MEGHALAYA,Ri Bhoi,2,20,19
11-11-2025,MEGHALAYA,South Garo Hills,2,5,0
11-11-2025,MEGHALAYA,South West Garo Hills,3,5,31
11-11-2025,MEGHALAYA,South West Khasi Hills,4,3,0
11-11-2025,MEGHALAYA,West Garo Hills,21,12,0
11-11-2025,MEGHALAYA,West Jaintia Hills,7,9,48
11-11-2025,MEGHALAYA,West Khasi Hills,3,15,0
11-11-2025,MIZORAM,Aizawl,9,0,0
11-11-2025,MIZORAM,Champhai,2,0,3
11-11-2025,MIZORAM,Khawzawl,0,0,4
11-11-2025,MIZORAM,Kolasib,2,0,0
11-11-2025,MIZORAM,Lawngtlai,4,1,0
11-11-2025,MIZORAM,Lunglei,28,0,0
11-11-2025,MIZORAM,Mammit,1,0,0
11-11-2025,MIZORAM,Saiha,4,0,12
11-11-2025,MIZORAM,Serchhip,0,1,0
11-11-2025,NAGALAND,Chumukedima,0,1,0
11-11-2025,NAGALAND,Dimapur,5,2,0
11-11-2025,NAGALAND,Kiphire,0,2,0
11-11-2025,NAGALAND,Kohima,0,1,0
11-11-2025,NAGALAND,Longleng,0,1,0
11-11-2025,NAGALAND,Mokokchung,1,2,0
11-11-2025,NAGALAND,Mon,4,8,0
11-11-2025,NAGALAND,Noklak,0,8,0
11-11-2025,NAGALAND,Peren,3,0,0
11-11-2025,NAGALAND,Phek,0,3,0
11-11-2025,NAGALAND,Tuensang,6,9,0
11-11-2025,NAGALAND,Zunheboto,1,4,0
11-11-2025,ODISHA,Angul,22,2,0
11-11-2025,ODISHA,Balangir,44,6,1
11-11-2025,ODISHA,Baleshwar,2,0,0
11-11-2025,ODISHA,Baleswar,42,13,0
11-11-2025,ODISHA,Bargarh,50,9,0
11-11-2025,ODISHA,Baudh,3,0,0
11-11-2025,ODISHA,Bhadrak,34,12,0
11-11-2025,ODISHA,Boudh,9,7,0
11-11-2025,ODISHA,Cuttack,28,13,0
11-11-2025,ODISHA,Debagarh,12,1,0
11-11-2025,ODISHA,Dhenkanal,19,4,0
11-11-2025,ODISHA,Gajapati,19,5,0
11-11-2025,ODISHA,Ganjam,97,13,1
11-11-2025,ODISHA,JAJPUR,20,3,0
11-11-2025,ODISHA,Jagatsinghapur,22,2,0
11-11-2025,ODISHA,Jagatsinghpur,8,0,0
11-11-2025,ODISHA,Jajapur,19,1,0
11-11-2025,ODISHA,Jharsuguda,11,2,0
11-11-2025,ODISHA,Kalahandi,35,8,0
11-11-2025,ODISHA,Kandhamal,31,6,0
11-11-2025,ODISHA,Kendrapara,15,6,0
11-11-2025,ODISHA,Kendujhar,30,12,0
11-11-2025,ODISHA,Khorda,32,11,4
11-11-2025,ODISHA,Khordha,5,1,0
11-11-2025,ODISHA,Koraput,30,13,0
11-11-2025,ODISHA,Malkangiri,16,5,0
11-11-2025,ODISHA,Mayurbhanj,60,24,0
11-11-2025,ODISHA,Nabarangapur,40,12,0
11-11-2025,ODISHA,Nayagarh,21,3,0
11-11-2025,ODISHA,Nuapada,6,4,0
11-11-2025,ODISHA,Puri,34,8,0
11-11-2025,ODISHA,Rayagada,28,5,0
11-11-2025,ODISHA,Sambalpur,22,0,0
11-11-2025,ODISHA,Sonapur,10,2,0
11-11-2025,ODISHA,Subarnapur,5,0,0
11-11-2025,ODISHA,Sundargarh,8,0,0
11-11-2025,ODISHA,Sundergarh,43,1,0
11-11-2025,Orissa,Balangir,3,2,0
11-11-2025,Orissa,Baleshwar,3,0,0
11-11-2025,Orissa,Bhadrak,1,0,0
11-11-2025,Orissa,Debagarh,1,0,0
11-11-2025,Orissa,Dhenkanal,3,1,0
11-11-2025,Orissa,Ganjam,2,0,0
11-11-2025,Orissa,Jajapur,1,1,0
11-11-2025,Orissa,Jharsuguda,1,0,0
11-11-2025,Orissa,Khordha,4,1,0
11-11-2025,Orissa,Puri,1,0,0
11-11-2025,Orissa,Rayagada,1,0,0
11-11-2025,Orissa,Sundargarh,1,0,0
11-11-2025,PUDUCHERRY,Karaikal,4,0,0
11-11-2025,PUDUCHERRY,Puducherry,13,0,0
11-11-2025,PUNJAB,Amritsar,52,12,0
11-11-2025,PUNJAB,Barnala,12,1,0
11-11-2025,PUNJAB,Bathinda,35,4,0
11-11-2025,PUNJAB,Faridkot,10,1,0
11-11-2025,PUNJAB,Fatehgarh Sahib,11,0,1
11-11-2025,PUNJAB,Fazilka,11,1,0
11-11-2025,PUNJAB,Ferozepur,17,0,0
11-11-2025,PUNJAB,Firozpur,2,0,0
11-11-2025,PUNJAB,Gurdaspur,64,10,0
11-11-2025,PUNJAB,Hoshiarpur,37,2,2
11-11-2025,PUNJAB,Jalandhar,31,5,2
11-11-2025,PUNJAB,Kapurthala,7,1,30
11-11-2025,PUNJAB,Ludhiana,62,11,2
11-11-2025,PUNJAB,Malerkotla,5,3,0
11-11-2025,PUNJAB,Mansa,7,0,0
11-11-2025,PUNJAB,Moga,18,2,0
11-11-2025,PUNJAB,Muktsar,5,1,0
11-11-2025,PUNJAB,Nawanshahr,5,0,0
11-11-2025,PUNJAB,Pathankot,18,2,0
11-11-2025,PUNJAB,Patiala,28,5,0
11-11-2025,PUNJAB,Rupnagar,26,0,0
11-11-2025,PUNJAB,S.A.S Nagar(Mohali),6,0,0
11-11-2025,PUNJAB,SAS Nagar (Mohali),28,7,1
11-11-2025,PUNJAB,Sangrur,32,3,2
11-11-2025,PUNJAB,Shaheed Bhagat Singh Nagar,10,0,0
11-11-2025,PUNJAB,Sri Muktsar Sahib,20,1,0
11-11-2025,PUNJAB,Tarn Taran,30,2,0
11-11-2025,Pondicherry,Karaikal,3,0,0
11-11-2025,Pondicherry,Pondicherry,19,0,0
11-11-2025,RAJASTHAN,Ajmer,66,23,1
11-11-2025,RAJASTHAN,Alwar,72,50,4
11-11-2025,RAJASTHAN,Banswara,44,24,0
11-11-2025,RAJASTHAN,Baran,23,13,0
11-11-2025,RAJASTHAN,Barmer,64,36,0
11-11-2025,RAJASTHAN,Bharatpur,71,54,0
11-11-2025,RAJASTHAN,Bhilwara,44,24,0
11-11-2025,RAJASTHAN,Bikaner,31,39,0
11-11-2025,RAJASTHAN,Bundi,10,11,0
11-11-2025,RAJASTHAN,Chittaurgarh,1,0,0
11-11-2025,RAJASTHAN,Chittorgarh,19,9,0
11-11-2025,RAJASTHAN,Churu,41,27,0
11-11-2025,RAJASTHAN,Dausa,41,27,0
11-11-2025,RAJASTHAN,Dholpur,37,20,1
11-11-2025,RAJASTHAN,Dungarpur,38,25,0
11-11-2025,RAJASTHAN,Ganganagar,41,9,1
11-11-2025,RAJASTHAN,Hanumangarh,19,5,1
11-11-2025,RAJASTHAN,Jaipur,120,66,0
11-11-2025,RAJASTHAN,Jaisalmer,12,12,0
11-11-2025,RAJASTHAN,Jalor,41,41,0
11-11-2025,RAJASTHAN,Jhalawar,31,13,0
11-11-2025,RAJASTHAN,Jhunjhunun,48,14,1
11-11-2025,RAJASTHAN,Jodhpur,57,37,3
11-11-2025,RAJASTHAN,Karauli,41,26,0
11-11-2025,RAJASTHAN,Kota,34,14,0
11-11-2025,RAJASTHAN,Nagaur,92,34,0
11-11-2025,RAJASTHAN,Pali,48,21,0
11-11-2025,RAJASTHAN,Pratapgarh,12,9,0
11-11-2025,RAJASTHAN,Rajsamand,32,10,0
11-11-2025,RAJASTHAN,Sawai Madhopur,34,15,0
11-11-2025,RAJASTHAN,Sikar,48,12,0
11-11-2025,RAJASTHAN,Sirohi,30,24,0
11-11-2025,RAJASTHAN,Tonk,26,8,0
11-11-2025,RAJASTHAN,Udaipur,51,45,1
11-11-2025,SIKKIM,East,4,3,0
11-11-2025,SIKKIM,East Sikkim,0,1,0
11-11-2025,SIKKIM,North Sikkim,1,0,0
11-11-2025,SIKKIM,South,0,1,0
11-11-2025,SIKKIM,South Sikkim,1,0,0
11-11-2025,SIKKIM,West,2,1,0
11-11-2025,SIKKIM,West Sikkim,0,1,0
11-11-2025,TAMIL NADU,Ariyalur,20,10,0
11-11-2025,TAMIL NADU,Chengalpattu,3,4,0
11-11-2025,TAMIL NADU,Chennai,84,32,2
11-11-2025,TAMIL NADU,Coimbatore,55,27,0
11-11-2025,TAMIL NADU,Cuddalore,78,11,0
11-11-2025,TAMIL NADU,Dharmapuri,45,9,0
11-11-2025,TAMIL NADU,Dindigul,38,5,0
11-11-2025,TAMIL NADU,Erode,43,10,0
11-11-2025,TAMIL NADU,Kallakurichi,6,1,0
11-11-2025,TAMIL NADU,Kancheepuram,86,36,0
11-11-2025,TAMIL NADU,Kanniyakumari,22,1,0
11-11-2025,TAMIL NADU,Kanyakumari,23,1,0
11-11-2025,TAMIL NADU,Karur,41,9,0
11-11-2025,TAMIL NADU,Krishnagiri,33,3,0
11-11-2025,TAMIL NADU,Madurai,81,14,0
11-11-2025,TAMIL NADU,Mayiladuthurai,4,1,0
11-11-2025,TAMIL NADU,Nagapattinam,35,9,0
11-11-2025,TAMIL NADU,Namakkal,34,12,0
11-11-2025,TAMIL NADU,Perambalur,19,3,0
11-11-2025,TAMIL NADU,Pudukkottai,57,27,0
11-11-2025,TAMIL NADU,Ramanathapuram,24,3,1
11-11-2025,TAMIL NADU,Ranipet,1,0,0
11-11-2025,TAMIL NADU,Salem,85,22,1
11-11-2025,TAMIL NADU,Sivaganga,31,13,0
11-11-2025,TAMIL NADU,Tenkasi,16,1,0
11-11-2025,TAMIL NADU,Thanjavur,61,15,0
11-11-2025,TAMIL NADU,The Nilgiris,11,3,0
11-11-2025,TAMIL NADU,Theni,29,5,0
11-11-2025,TAMIL NADU,Thiruvallur,2,1,0
11-11-2025,TAMIL NADU,Thiruvarur,38,10,0
11-11-2025,TAMIL NADU,Thoothukkudi,47,5,0
11-11-2025,TAMIL NADU,Tiruchirappalli,69,17,0
11-11-2025,TAMIL NADU,Tirunelveli,73,18,0
11-11-2025,TAMIL NADU,Tirupattur,9,1,0
11-11-2025,TAMIL NADU,Tiruppur,43,9,0
11-11-2025,TAMIL NADU,Tiruvallur,79,49,0
11-11-2025,TAMIL NADU,Tiruvannamalai,71,13,0
11-11-2025,TAMIL NADU,Vellore,62,25,2
11-11-2025,TAMIL NADU,Villupuram,111,8,0
11-11-2025,TAMIL NADU,Viluppuram,71,9,0
11-11-2025,TAMIL NADU,Virudhunagar,39,11,0
11-11-2025,TELANGANA,Adilabad,15,9,0
11-11-2025,TELANGANA,Bhadradri Kothagudem,17,8,0
11-11-2025,TELANGANA,Hanumakonda,4,1,1
11-11-2025,TELANGANA,Hyderabad,129,32,3
11-11-2025,TELANGANA,Jagitial,10,0,0
11-11-2025,TELANGANA,Jangaon,1,0,0
11-11-2025,TELANGANA,Jangoan,9,0,0
11-11-2025,TELANGANA,Jayashankar Bhupalpally,5,1,0
11-11-2025,TELANGANA,Jogulamba Gadwal,14,2,0
11-11-2025,TELANGANA,K.v. Rangareddy,109,24,0
11-11-2025,TELANGANA,Kamareddy,20,2,0
11-11-2025,TELANGANA,Karimnagar,52,9,0
11-11-2025,TELANGANA,Khammam,22,5,0
11-11-2025,TELANGANA,Komaram Bheem,4,1,0
11-11-2025,TELANGANA,Mahabubabad,12,3,0
11-11-2025,TELANGANA,Mahabubnagar,82,22,0
11-11-2025,TELANGANA,Mancherial,7,0,0
11-11-2025,TELANGANA,Medak,50,6,1
11-11-2025,TELANGANA,Medchal-malkajgiri,27,10,1
11-11-2025,TELANGANA,Medchal−malkajgiri,4,1,0
11-11-2025,TELANGANA,Mulugu,4,1,0
11-11-2025,TELANGANA,Nagarkurnool,9,2,1
11-11-2025,TELANGANA,Nalgonda,39,11,0
11-11-2025,TELANGANA,Narayanpet,13,7,0
11-11-2025,TELANGANA,Nirmal,7,0,1
11-11-2025,TELANGANA,Nizamabad,58,6,1
11-11-2025,TELANGANA,Peddapalli,5,1,0
11-11-2025,TELANGANA,Rajanna Sircilla,6,0,0
11-11-2025,TELANGANA,Rangareddy,3,0,1
11-11-2025,TELANGANA,Sangareddy,18,2,1
11-11-2025,TELANGANA,Siddipet,18,1,0
11-11-2025,TELANGANA,Suryapet,16,3,0
11-11-2025,TELANGANA,Vikarabad,18,4,0
11-11-2025,TELANGANA,Wanaparthy,21,1,0
11-11-2025,TELANGANA,Warangal,25,4,0
11-11-2025,TELANGANA,Warangal Rural,9,0,0
11-11-2025,TELANGANA,Warangal Urban,4,1,0
11-11-2025,TELANGANA,Yadadri.,10,0,0
11-11-2025,TRIPURA,Dhalai,8,7,0
11-11-2025,TRIPURA,Dhalai  *,1,1,0
11-11-2025,TRIPURA,Gomati,0,2,0
11-11-2025,TRIPURA,Khowai,1,0,0
11-11-2025,TRIPURA,North Tripura,11,6,0
11-11-2025,TRIPURA,Sepahijala,9,7,1
11-11-2025,TRIPURA,South Tripura,16,14,1
11-11-2025,TRIPURA,Unakoti,6,1,0
11-11-2025,TRIPURA,West Tripura,24,11,0
11-11-2025,UTTAR PRADESH,Agra,109,47,1
11-11-2025,UTTAR PRADESH,Aligarh,48,25,0
11-11-2025,UTTAR PRADESH,Allahabad,49,44,1
11-11-2025,UTTAR PRADESH,Ambedkar Nagar,31,46,10
11-11-2025,UTTAR PRADESH,Amethi,25,23,0
11-11-2025,UTTAR PRADESH,Amroha,44,20,0
11-11-2025,UTTAR PRADESH,Auraiya,23,13,0
11-11-2025,UTTAR PRADESH,Ayodhya,7,5,0
11-11-2025,UTTAR PRADESH,Azamgarh,54,87,0
11-11-2025,UTTAR PRADESH,Baghpat,21,19,2
11-11-2025,UTTAR PRADESH,Bahraich,44,59,8
11-11-2025,UTTAR PRADESH,Ballia,46,48,0
11-11-2025,UTTAR PRADESH,Balrampur,27,43,4
11-11-2025,UTTAR PRADESH,Banda,31,19,0
11-11-2025,UTTAR PRADESH,Bara Banki,37,24,0
11-11-2025,UTTAR PRADESH,Barabanki,2,3,0
11-11-2025,UTTAR PRADESH,Bareilly,65,47,0
11-11-2025,UTTAR PRADESH,Basti,43,34,3
11-11-2025,UTTAR PRADESH,Bhadohi,3,3,0
11-11-2025,UTTAR PRADESH,Bijnor,101,33,0
11-11-2025,UTTAR PRADESH,Budaun,49,32,0
11-11-2025,UTTAR PRADESH,Bulandshahar,2,0,0
11-11-2025,UTTAR PRADESH,Bulandshahr,53,36,7
11-11-2025,UTTAR PRADESH,Chandauli,41,34,0
11-11-2025,UTTAR PRADESH,Chitrakoot,24,19,0
11-11-2025,UTTAR PRADESH,Deoria,32,47,3
11-11-2025,UTTAR PRADESH,Etah,30,19,2
11-11-2025,UTTAR PRADESH,Etawah,21,17,0
11-11-2025,UTTAR PRADESH,Faizabad,27,26,0
11-11-2025,UTTAR PRADESH,Farrukhabad,28,32,2
11-11-2025,UTTAR PRADESH,Fatehpur,35,27,1
11-11-2025,UTTAR PRADESH,Firozabad,20,15,1
11-11-2025,UTTAR PRADESH,Gautam Buddha Nagar,35,38,0
11-11-2025,UTTAR PRADESH,Ghaziabad,64,53,0
11-11-2025,UTTAR PRADESH,Ghazipur,44,59,1
11-11-2025,UTTAR PRADESH,Gonda,47,51,1
11-11-2025,UTTAR PRADESH,Gorakhpur,50,74,0
11-11-2025,UTTAR PRADESH,Hamirpur,17,8,0
11-11-2025,UTTAR PRADESH,Hapur,25,10,0
11-11-2025,UTTAR PRADESH,Hardoi,68,65,2
11-11-2025,UTTAR PRADESH,Hathras,39,19,0
11-11-2025,UTTAR PRADESH,Jalaun,27,25,0
11-11-2025,UTTAR PRADESH,Jaunpur,40,60,0
11-11-2025,UTTAR PRADESH,Jhansi,62,15,0
11-11-2025,UTTAR PRADESH,Kannauj,16,24,0
11-11-2025,UTTAR PRADESH,Kanpur Dehat,23,27,0
11-11-2025,UTTAR PRADESH,Kanpur Nagar,70,58,6
11-11-2025,UTTAR PRADESH,Kasganj,22,21,2
11-11-2025,UTTAR PRADESH,Kaushambi,42,22,0
11-11-2025,UTTAR PRADESH,Kheri,69,73,0
11-11-2025,UTTAR PRADESH,Kushinagar,39,49,0
11-11-2025,UTTAR PRADESH,Lalitpur,52,16,1
11-11-2025,UTTAR PRADESH,Lucknow,75,51,1
11-11-2025,UTTAR PRADESH,Maharajganj,19,64,16
11-11-2025,UTTAR PRADESH,Mahoba,21,8,0
11-11-2025,UTTAR PRADESH,Mainpuri,19,20,0
11-11-2025,UTTAR PRADESH,Mathura,60,25,1
11-11-2025,UTTAR PRADESH,Mau,26,52,0
11-11-2025,UTTAR PRADESH,Meerut,69,44,0
11-11-2025,UTTAR PRADESH,Mirzapur,35,47,0
11-11-2025,UTTAR PRADESH,Moradabad,83,33,3
11-11-2025,UTTAR PRADESH,Muzaffarnagar,64,37,0
11-11-2025,UTTAR PRADESH,Pilibhit,35,16,7
11-11-2025,UTTAR PRADESH,Pratapgarh,43,26,0
11-11-2025,UTTAR PRADESH,Prayagraj,10,2,0
11-11-2025,UTTAR PRADESH,Rae Bareli,54,32,1
11-11-2025,UTTAR PRADESH,Rampur,53,25,5
11-11-2025,UTTAR PRADESH,Saharanpur,97,34,0
11-11-2025,UTTAR PRADESH,Sambhal,40,39,1
11-11-2025,UTTAR PRADESH,Sant Kabir Nagar,26,44,0
11-11-2025,UTTAR PRADESH,Sant Ravidas Nagar,16,30,0
11-11-2025,UTTAR PRADESH,Shahjahanpur,49,50,1
11-11-2025,UTTAR PRADESH,Shamli,48,27,0
11-11-2025,UTTAR PRADESH,Shrawasti,16,23,2
11-11-2025,UTTAR PRADESH,Siddharthnagar,26,76,1
11-11-2025,UTTAR PRADESH,Sitapur,75,81,4
11-11-2025,UTTAR PRADESH,Sonbhadra,33,20,0
11-11-2025,UTTAR PRADESH,Sultanpur,51,44,0
11-11-2025,UTTAR PRADESH,Unnao,71,43,2
11-11-2025,UTTAR PRADESH,Varanasi,66,82,2
11-11-2025,UTTARAKHAND,Almora,21,0,0
11-11-2025,UTTARAKHAND,Bageshwar,9,0,0
11-11-2025,UTTARAKHAND,Chamoli,6,0,0
11-11-2025,UTTARAKHAND,Champawat,13,3,0
11-11-2025,UTTARAKHAND,Dehradun,48,4,0
11-11-2025,UTTARAKHAND,Garhwal,1,0,0
11-11-2025,UTTARAKHAND,Hardwar,1,0,0
11-11-2025,UTTARAKHAND,Haridwar,45,10,0
11-11-2025,UTTARAKHAND,Nainital,36,5,0
11-11-2025,UTTARAKHAND,Pauri Garhwal,30,1,0
11-11-2025,UTTARAKHAND,Pithoragarh,14,5,0
11-11-2025,UTTARAKHAND,Rudraprayag,8,1,0
11-11-2025,UTTARAKHAND,Tehri Garhwal,34,5,0
11-11-2025,UTTARAKHAND,Udham Singh Nagar,56,8,0
11-11-2025,UTTARAKHAND,Uttarkashi,11,0,0
11-11-2025,WEST BENGAL,Alipurduar,7,4,0
11-11-2025,WEST BENGAL,Bankura,97,21,0
11-11-2025,WEST BENGAL,Barddhaman,112,38,0
11-11-2025,WEST BENGAL,Bardhaman,19,8,0
11-11-2025,WEST BENGAL,Birbhum,134,16,0
11-11-2025,WEST BENGAL,Cooch Behar,60,26,0
11-11-2025,WEST BENGAL,Dakshin Dinajpur,37,11,0
11-11-2025,WEST BENGAL,Darjeeling,38,16,0
11-11-2025,WEST BENGAL,Darjiling,6,3,0
11-11-2025,WEST BENGAL,East Midnapore,19,2,0
11-11-2025,WEST BENGAL,Haora,15,7,0
11-11-2025,WEST BENGAL,Hooghly,117,35,0
11-11-2025,WEST BENGAL,Howrah,90,33,0
11-11-2025,WEST BENGAL,Hugli,3,0,0
11-11-2025,WEST BENGAL,Jalpaiguri,68,34,0
11-11-2025,WEST BENGAL,Jhargram,9,0,0
11-11-2025,WEST BENGAL,Koch Bihar,18,16,0
11-11-2025,WEST BENGAL,Kolkata,45,60,2
11-11-2025,WEST BENGAL,Malda,99,31,0
11-11-2025,WEST BENGAL,Maldah,13,3,0
11-11-2025,WEST BENGAL,Murshidabad,312,46,0
11-11-2025,WEST BENGAL,Nadia,110,37,2
11-11-2025,WEST BENGAL,North 24 Parganas,257,64,1
11-11-2025,WEST BENGAL,North Dinajpur,1,0,0
11-11-2025,WEST BENGAL,North Twenty Four Parganas,16,6,0
11-11-2025,WEST BENGAL,Paschim Bardhaman,11,4,0
11-11-2025,WEST BENGAL,Paschim Medinipur,123,43,0
11-11-2025,WEST BENGAL,Purba Bardhaman,26,3,0
11-11-2025,WEST BENGAL,Purba Medinipur,116,17,0
11-11-2025,WEST BENGAL,Purulia,1,4,0
11-11-2025,WEST BENGAL,Puruliya,102,43,0
11-11-2025,WEST BENGAL,South 24 Parganas,232,90,2
11-11-2025,WEST BENGAL,South Dinajpur,6,3,0
11-11-2025,WEST BENGAL,South Twenty Four Parganas,35,16,0
11-11-2025,WEST BENGAL,Uttar Dinajpur,153,58,0
11-11-2025,WEST BENGAL,West Midnapore,9,3,0
12-09-2025,100000,100000,0,0,2
12-09-2025,ANDAMAN AND NICOBAR ISLANDS,Andamans,1,0,0
12-09-2025,ANDAMAN AND NICOBAR ISLANDS,Nicobar,2,0,0
12-09-2025,ANDAMAN AND NICOBAR ISLANDS,South Andaman,2,0,0
12-09-2025,ANDHRA PRADESH,Adilabad,27,7,0
12-09-2025,ANDHRA PRADESH,Alluri Sitharama Raju,26,5,0
12-09-2025,ANDHRA PRADESH,Anakapalli,5,0,0
12-09-2025,ANDHRA PRADESH,Anantapur,73,6,0
12-09-2025,ANDHRA PRADESH,Ananthapur,31,1,0
12-09-2025,ANDHRA PRADESH,Ananthapuramu,54,4,0
12-09-2025,ANDHRA PRADESH,Annamayya,16,1,6
12-09-2025,ANDHRA PRADESH,Bapatla,5,0,0
12-09-2025,ANDHRA PRADESH,Chittoor,112,18,2
12-09-2025,ANDHRA PRADESH,Cuddapah,61,6,0
12-09-2025,ANDHRA PRADESH,Dr. B. R. Ambedkar Konaseema,9,0,2
12-09-2025,ANDHRA PRADESH,East Godavari,112,8,0
12-09-2025,ANDHRA PRADESH,Eluru,7,0,0
12-09-2025,ANDHRA PRADESH,Guntur,106,10,1
12-09-2025,ANDHRA PRADESH,Hyderabad,52,20,0
12-09-2025,ANDHRA PRADESH,K.V.Rangareddy,2,1,0
12-09-2025,ANDHRA PRADESH,Kakinada,14,2,1
12-09-2025,ANDHRA PRADESH,Karim Nagar,2,0,0
12-09-2025,ANDHRA PRADESH,Karimnagar,17,3,0
12-09-2025,ANDHRA PRADESH,Khammam,22,4,0
12-09-2025,ANDHRA PRADESH,Krishna,98,16,0
12-09-2025,ANDHRA PRADESH,Kurnool,167,17,0
12-09-2025,ANDHRA PRADESH,Mahabub Nagar,25,7,0
12-09-2025,ANDHRA PRADESH,Mahbubnagar,13,0,0
12-09-2025,ANDHRA PRADESH,Medak,24,4,0
12-09-2025,ANDHRA PRADESH,N. T. R,17,3,2
12-09-2025,ANDHRA PRADESH,Nalgonda,23,12,0
12-09-2025,ANDHRA PRADESH,Nandyal,10,2,0
12-09-2025,ANDHRA PRADESH,Nellore,77,16,0
12-09-2025,ANDHRA PRADESH,Nizamabad,7,2,0
12-09-2025,ANDHRA PRADESH,Palnadu,5,1,0
12-09-2025,ANDHRA PRADESH,Parvathipuram Manyam,6,1,0
12-09-2025,ANDHRA PRADESH,Prakasam,134,33,0
12-09-2025,ANDHRA PRADESH,Rangareddi,22,11,0
12-09-2025,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,14,11,2
